Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Investigator or Source
2007.12.18,18-Dec-07,2007,Unprovoked,AUSTRALIA,New South Wales,Jimmy's Beach,Surfing,M,31,Severe lacerations to right buttock,N,11h00,2 m shark,"Daily Telegraph, 12/18/2007"
2007.12.15,15-Dec-07,2007,Unprovoked,AUSTRALIA,Queensland,South Stradbroke Island,Swimming,M,teen,Lacerations to hand,N,,"""a small shark""",goldcoast.com.au
2007.12.14,14-Dec-07,2007,Invalid,AUSTRALIA,New South Wales,Bondi ,Swimming,M,34,Lacerations to left forearm,N,20h30,Not a shark attack; it was a hoax,"Sydney Morning Herald, 12/16/2007"
2007.12.10,10-Dec-07,2007,Unprovoked,USA,Hawaii,"Waialua Bay, O'ahu",Surfing,M,52,"No injury, shark bit surfboard ",N,"""Just before 11h00""",Tiger shark,"Honolulu Advertiser, 12/12/2007"
2007.11.18,18-Nov-07,2007,Provoked,AUSTRALIA,Western Australia,In a tidal creek    5 km from Wickham,Fishing,M,32,Minor injury to finger by netted shark PROVOKED INCIDENT,N,,reef shark,"thewest.com.au, 11/19/2007"
2007.11.08,08-Nov-07,2007,Unprovoked,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",Surfing,M,,"No injury, teethmarks in board & torn wetsuit",N,14h20,,"Northern Star, 11/10/2007"
2007.11.07,07-Nov-07,2007,Unprovoked,SOUTH AFRICA,Western Cape Province,The Strand,Surfing,M,14,Lacerations to feet,N,17h30,1.5 to 2 m shark,"The Times (Cape Town), 11/9/2007"
2007.11.06,06-Nov-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,Cut to right knee,N,11h115,4' to 5' shark,"S. Petersohn; GSAF' Central Florida News, 11/7/2006"
2007.11.04,04-Nov-07,2007,Unprovoked,USA,Florida,"Round Island Park, Indian River County",Surfing,M,42,Lacerations to right leg,N,09h00,5' shark,"T.C. Palm, 11/4/2007 & 11/5/2007"
2007.11.03,03-Nov-07,2007,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,Surfing,M,37,Lacerations to thigh,N,08h45,"White shark, 3m to 4m",Daily Dispatch
2007.10.29,29-Oct-07,2007,Unprovoked,USA,Hawaii,"Wailea, Maui",Floating,M,32,Lacerations to left lower leg,N,15h30,Tiger shark,KHNL8.com
2007.10.15,15-Oct-07,2007,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,Surf-skiing,F,52,small laceration to wrist,N,11h30,"White shark, 2.5m ","Sydney Morning Herald, 10/15/2007"
2007.10.13,13-Oct-07,2007,Unprovoked,AUSTRALIA,Queensland,Holmes Reef,Spearfishing,M,31,Laceration to calf,N,12h00,Bronze whaler shark,"news.com.au, 10/14/2007"
2007.10.07,07-Oct-07,2007,Unprovoked,USA,California,"Venice Pier, Venice, Los Angeles County",Surfing,M,22,4 scratches on left hand,N,20h30,3' to 4' shark,R. Collier
2007.10.06,06-Oct-07,2007,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,16,Severe lacerations to right hand,N,08h10,"Blacktip shark, 5'",E. H.
2007.09.30.c,30-Sep-07,2007,Unprovoked,USA,California,"Santa Monica, Los Angeles County",Surfing,M,,Puncture wound to foot,N,11h30,,R. Collier
2007.09.27.b,27-Sep-07,2007,Unprovoked,USA,California,"Moonstone Beach, Humboldt County",Surfing,F,,"No injury to surfer, surfboard bitten",N,08h15,White shark,R. Collier
2007.09.22.b,22-Sep-07,2007,Invalid,USA,Florida,Jupiter Inlet,Scuba diving,F,,Shark involvement prior to death unconfirmed,Y,,,"Florida Today, 12/14/2007"
2007.09.22.a,22-Sep-07,2007,Unprovoked,USA,Florida,Huguenot Park,Surfing,F,,Laceration to foot,N,,4' shark,"R.Duffy, First Coast News. 9/23/2007"
2007.09.20,20-Sep-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,23,Small lacerations to bottom of right big toe,N,18h20,3' shark,"S. Petersohn, GSAF"
2007.09.16.b,16-Sep-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading?,M,56,Laceration to right heel,N,11h15,,"S. Petersohn, GSAF"
2007.09.16.a,16-Sep-07,2007,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Surfing,F,Teen,"No injury, surfboard bitten",N,Early morning,9.5' shark?,wsbtv.com
2007.09.13,13-Sep-07,2007,Unprovoked,USA,Florida,"Lauderdale-by-the-Sea, Broward County",Snorkeling,M,14,"Minor injury, shark latched onto his abdomen",N,16h00,"Nurse shark, 2' to 3' ","Miami Herald, 9/13/2007; Sun-Sentinel, 9/14/2007"
2007.09.08,08-Sep-07,2007,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County",Wading,F,58,Puncture wounds & 2-inch laceration to calf,N,11h45,,"First Coast News, 9/11/2007"
2007.09.05,05-Sep-07,2007,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,F,36,Laceration to right big toe,N,13h42,,"S. Petersohn, GSAF"
2007.09.04,04-Sep-07,2007,Unprovoked,USA,South Carolina,Sullivan's Island,Standing,M,15,Lacerations to left calf and both feet ,N,18h30,,"C. Creswell, GSAF; J. Johnson, Post and Courier, 9/26/2007"
2007.09.03.b,03-Sep-07,2007,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Jumping,F,12,Tiny punctures to arm,N,Morning,"18"" to 24"" shark","S. Petersohn, GSAF"
2007.09.03.a,03-Sep-07,2007,Unprovoked,USA,Florida,"Fort Lauderdale, Broward County",Swimming,M,58,"3"" laceration to left forearm",N,09h45,Possibly a spinner shark,"S. Wyman, Sun-Sentinel, 9/3/2007; Local10.com"
2007.08.28.b,28-Aug-07,2007,Unprovoked,USA,Hawaii,"Ka'a'awa, Oahu",Body boarding,M,15,Laceration to right heel,N,16h30,"Tiger shark, 10' to 12' ","Honolulu Advertiser, 8/29/2007"
2007.08.28.a,28-Aug-07,2007,Unprovoked,USA,California,"Marina State Beach, Monterey County",Surfing,M,24,Lacerations to thigh & torso,N,10h45,"White shark, 12'",R. Collier
2007.08.26,26-Aug-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,54,Left hand  bitten,N,14h00,3' shark,"S. Petersohn, GSAF "
2007.08.25,25-Aug-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,27, 6 lacerations to left hand,N,Morning,3' shark,"S. Petersohn, GSAF; WESH 2 News"
2007.08.19.c,19-Aug-07,2007,Unprovoked,USA,Florida,"Islamorada Founder's Park, Plantation Key, Monroe County",Swimming,M,52,Torso bitten,N,20h15,,"Miami Herald, 8/20/2007"
2007.08.19.b,19-Aug-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16,Foot bitten,N,12h39,4' to 5' shark,"S. Petersohn, GSAF"
2007.08.19.a.,19-Aug-07,2007,Unprovoked,USA,South Carolina,"Lakewood Campground, Grand Strand, Horry County",Playing,M,7,Right calf bitten,N,10h00,,"C. Creswell, GSAF"
2007.08.15,15-Aug-07,2007,Unprovoked,USA,Florida,Sarasota Bay,Floating near boat & observing bioluminesce,M,20,Puncture wounds to torso,N,Night,Possibly a 6' bull shark,"Charlotte Observer, 8/18/2007"
2007.08.12,12-Aug-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,15,"Minor injury, small lacerations to right foot",N,17h35, ,"S. Petersohn, GSAF"
2007.08.11,11-Aug-07,2007,Unprovoked,USA,Florida,"Ponce Inlet,  New Smyrna Beach, Volusia County",Walking out of the water after surfing,M,19,"Minor injury, lacerations to left ankle & foot ",N,18h00,,"S. Petersohn, GSAF"
2007.08.09.b,09-Aug-07,2007,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,30,Lacerations to right foot,N,16h40,,"C. Creswell, GSAF"
2007.08.09.a,09-Aug-07,2007,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Boogie Boarding,M,9,Lacerations to lower leg & ankle,N,14h00,,"C. Creswell, GSAF"
2007.08.07,07-Aug-07,2007,Unprovoked,USA,Florida,"Islamorada, Monroe County",Jumped into the water,F,19,Lacerations to arm,N,Afternoon,Possibly a 10' bull shark,"Miami Herald, 8/8/2007"
2007.07.29,29-Jul-07,2007,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,51,Minor injury to shoulder,N,Afternoon,,"S. Petersohn, GSAF"
2007.07.28,28-Jul-07,2007,Unprovoked,USA,California,"Imperial Beach, San Diego County",Surfing,M,20,"No injury, shark bit surfboard",N,23h00,,R. Collier
2007.07.22,22-Jul-07,2007,Unprovoked,USA,California,"Malibu, Los Angeles County",Surf paddling,M,,"No injury, surfboard bumped by shark for 20 minutes",N,,"White shark, 12' ",R. Collier
2007.07.21,21-Jul-07,2007,Boat,USA,California,"Bean Hollow State Beach, San Mateo County",Kayak Fishing,M,,"No injury, kayak bitten",N,10h15,White shark,"R. Collier; San Francisco Chronicle, 7/23/2007; NorCal Kayak Anglers"
2007.07.19.b,19-Jul-2007.b,2007,Unprovoked,USA,Hawaii,"Bellows Beach near Wailea Point, O�ahu",Snorkeling,M,36,Left calf severely bitten,N,15h15, ,"Honolulu Advertiser, 7/20/2007; Honolulu Star Bulletin, 7/20/2007"
2007.07.17.b,17-Jul-07,2007,Invalid,USA,California,"Faria Beach, Ventura County",Swimming,F,43,Foot injured. Shark involvment uncomfirmed,N,11h00,Shark involvement not confirmed,R. Collier
2007.07.05,05-Jul-07,2007,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,18,Right foot bitten,N,16h00,,"S. Petersohn, GSAF"
2007.06.30.b,30-Jun-07,2007,Provoked,USA,Florida,Marques Island,Removing hook from shark,M,,Lacerations to right  hand by hooked shark PROVOKED INCIDENT,N,,"Lemon shark, 6' female ",S. Gruber; SharkAttackSurvivors.com
2007.06.30.a,30-Jun-07,2007,Unprovoked,USA,California,"Will Rogers State Beach, Los Angeles County",Swimming,F,,Hand bitten,N,10h00,,R. Collier
2007.06.25,25-Jun-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,20,6 to 8 puncture wounds to right hand,N,17h30,4' shark,"S. Petersohn, GSAF"
2007.06.24,24-Jun-07,2007,Unprovoked,USA,Hawaii,"Silva's Channel, Mokuleia, O'ahu",Surfing,M,,"No injury, board damaged",N,07h05,Tiger shark,"G. Lee, KGMB9.com"
2007.06.17,17-Jun-07,2007,Invalid,USA,Florida,"Vilano Beach, St.  Johns County",Surfing,F,9,Superficial injuries to upper leg may have been caused by surfboard fin,N,16h30,Shark involvement not confirmed,"St Augustine Record, 6/19/2007"
2007.06.12,12-Jun-07,2007,Unprovoked,USA,Florida,"Turtle Beach, Siesta Key, Sarasota County",Swimming,F,,Right foot bitten,N,11h00,3' to 4' shark,"R.B. Hackney, Sun-Sentinel, 7/13/2007"
2007.06.05,05-Jun-07,2007,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, Crescent Head",Surfing,M,,Lacerations to leg & ankle,N,Sunset,,"S. Williams, Daily Telegraph, 6/7/2007"
2007.05.26,26-May-07,2007,Unprovoked,USA,South Carolina,Garden City,Wading,F,,Lacerations to lower leg,N,17h00,,"C. Creswell, GSAF; Hilton Head Island Packet, 5/27/2007"
2007.05.16,16-May-07,2007,Unprovoked,AUSTRALIA,Western Australia,"Warra Beach, Coral Bay",Wading,F,38,Left heel & calf bitten,N,14h30,2.5 m shark,"The Western Australian, 5/16/2007"
2007.05.10,10-May-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,21,Knee bitten,N,16h00,4' to 5' shark,J. Manis
2007.05.08,08-May-07,2007,Invalid,AUSTRALIA,New South Wales,Kingscliff Beach,Swimming,M,45,Shark involvement prior to death unconfirmed,Y,12h15,,"NineMSNews, 5/10/2007"
2007.05.07.b,07-May-07,2007,Unprovoked,USA,Hawaii,"Keawakapu Beach, Maui",Snorkeling,F,63,Right foot bitten,N,08h30,"Tiger shark, 14' ","G. Kubota, Honolulu Star Bulletin, 5/8/2007"
2007.05.07.a,07-May-07,2007,Unprovoked,USA,Florida,Naples,Swimming,M,68,Circular bite on left thigh,N,08h30,6' to 8' shark,"Naples News, 5/10/2007"
2007.04.26,26-Apr-07,2007,Unprovoked,AUSTRALIA,Queensland,"Mornington Island, Gulf of Carpentaria",Swimming / jumping off a jetty,F,13,Lower leg & foot injured,N,18h00,"""a small shark""","news.com.au, 4/29/2007"
2007.04.22,22-Apr-07,2007,Unprovoked,USA,Florida,"Hutchinson Island, St. Lucie County",Body boarding,M,12,Left foot bitten,N,12h30,blacktip or spinner shark,"Sun-Sentinel, 4/23/2007"
2007.04.20,20-Apr-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,Lacerations to left index finger & thumb ,N,17h00,3' to 4' shark,"Florida Today, 4/21/2007"
2007.04.13.R,Reported      13-Apr-2007,2007,Boat,USA,Florida,"Florida Keys, Monroe County",Fishing,,,"No injury to occupants, shark holed the transom-mounted livewell ",N,,"Bull shark, 10' ","Florida Today, 4/13/2007; A. Brenneka"
2007.04.01,01-Apr-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Playing on a sandbar,M,7,Lacerations & puncture wounds to right calf,N,13h05,,"S. Petersohn, GSAF; WESH 2, 4/1/2007; Local6news.com, 4/3/2007"
2007.03.31.b,31-Mar-07,2007,Unprovoked,USA,Florida,"Normandy Beach, Hutchinson Island,  St. Lucie County",Surfing,M,27,Lacerations to right ankle ,N,14h20,3' shark,"Palm Beach Post, 3/31/2007; Sun Sentinel, 4/3/2007"
2007.03.31.a,31-Mar-07,2007,Unprovoked,USA,Florida,"Waveland Beach, Hutchinson Island, St. Lucie County",,M,9,Minor cuts to right buttock & thigh,N,13h20,,"Palm Beach Post, 3/31/2007"
2007.03.21,21-Mar-07,2007,Unprovoked,USA,Florida,Jupiter Inlet,Surfing,M,11,Punctures & lacerations to right calf & calf,N,Evening,4' to 5' shark,"TCPalm, 3/23/2007 "
2007.03.20,20-Mar-07,2007,Unprovoked,AUSTRALIA,New South Wales,South Golden Beach,Surfing,F,42,Lacerations to 3 fingers of left hand ,N,10h00,1.5 m shark,"Gold Coast Bulletin, 3/21/2007"
2007.03.14.R,Reported 14-Mar-2007,2007,Provoked,USA,Florida,Delray Beach,Shark fishing,M,,Right hand bitten by hooked shark PROVOKED INCIDENT,N,,5' shark,Associated Press
2007.03.12,12-Mar-07,2007,Unprovoked,AUSTRALIA,Queensland,"Moore Park, north of Bundaberg",Swimming,F,59,"Bruises to arm and hand, laceration to lower leg & minor injuries to foot",N,15h30,2 to 2.5 m shark,ABC News Online
2007.03.11,11-Mar-07,2007,Unprovoked,USA,Florida,"Tiger Shores Beach, Martin County",Surfing,M,29,Lacerations to right forearm & hand,N,13h00,,"J. Ashton, T.C. Palm, 3/12/2007"
2007.02.03,03-Feb-07,2007,Unprovoked,AUSTRALIA,New South Wales,Shelly Beach,Boogie Boarding,M,26,Lacerations to  lower left leg & ankle ,N,08h00,,"P. Immerz, SharkProject; P. Kemp, GSAF"
2007.01.25.a,25-Jan-07,2007,Boat,USA,Florida,100 miles off Ft. Myers Beach,Shrimping,,,"A large shark rammed boat, breaking prop shaft. No injury to occupants but boat sank several hours later",N,03h30,14' shark,"P. Morales, News-Press, 2/5/2007"
2007.01.23,23-Jan-07,2007,Unprovoked,AUSTRALIA,New South Wales,Cape Howe,Diving,M,41,Head & torso bitten,N,10h30,"White shark, 3m","NZ Herald, 1/23/2007"
2007.01.19,19-Jan-07,2007,Invalid,AUSTRALIA,New South Wales,Brunswick Heads,Swimming,M,20,Shark involvement prior to death unconfirmed,Y,,,"Northern Star, 1/24/2007"
2007.01.14,14-Jan-07,2007,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Swimming / Body Surfing,M,24,"Presumed FATAL, body not recovered",Y,Afternoon,Tiger shark,"G. Cliff, Natal Sharks Board; East London Dispatch, 1/18/2007"
2007.01.09,09-Jan-07,2007,Unprovoked,AUSTRALIA,New South Wales,Sandbar Beach,Surfing,M,,"No injury, shark damaged surfboard",N,06h30,2.4 m shark,"J. Watson, Great Lakes Your Guide"
2007.01.05,01-Jan-07,2007,Unprovoked,USA,Hawaii,"Majors Bay, Kaua'i",Surfing,M,24,"No injury, shark removed piece of surfboard",N,10h15,"6' to 8' shark, possibly a tiger shark","P. Immerz, SharkProject.org; J. TenBruggencate, Honolulu Advertiser, 1/5/2007"
2006.12.10,10-Dec-06,2006,Unprovoked,USA,California,"Dillon Beach, Marin County",Surfing,M,43,"Minor injuries, surfboard bitten",N,11h50,"White shark, 12' to 15' ","P. Immerz; R. Collier; San Francisco Chronicle, 12/11/2006 "
2006.12.06,06-Dec-06,2006,Provoked,SOUTH AFRICA,KwaZulu-Natal,Cape Vidal,Fishing,M,25,"Hand, thigh & calf bitten by hooked shark PROVOKED INCIDENT",N,"""Evening""","Raggedtooth shark, 150-kg","C. Johansson; Pretoria News, 12/8/2006"
2006.12.02,02-Dec-06,2006,Unprovoked,AUSTRALIA,Western Australia,Wharton Beach,Body boarding,M,15,"Right leg severed, left leg lacerated",N,07h30,"White shark, 5m ","P. Kemp, GSAF, Sunday Mail, 12/3/2006"
2006.11.11,11-Nov-06,2006,Unprovoked,USA,Hawaii,"Kihei, Maui",Swimming,M,29,Laceration to left thigh & left hand,N,12h30,2 m to 3 m shark,"Honolulu Advertiser, 11/12/2006; B. Nicholson"
2006.11.09,09-Nov-06,2006,Provoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Canoeing,M,,Left arm lacerated when he grabbed shark by its tail PROVOKED INCIDENT,N,Afternoon,"Bull shark, 1.5m ","P. Immerz, SharkProject"
2006.10.16,16-Oct-06,2006,Unprovoked,USA,Florida,Sebastian Inlet,Fishing,M,15,Lower right leg and foot bitten,N,,,"K. Kridel, Herald Tribune, 10/21/2006"
2006.10.10,10-Oct-06,2006,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,20,Left ankle bitten,N,11h30,,"S. Petersohn, GSAF"
2006.10.05,05-Oct-06,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Playing soccer in the water,M,18,Lacerations to foot,N,12h00,3' to 3.5' shark,"S. Petersohn, GSAF"
2006.09.30,30-Sep-06,2006,Invalid,SOUTH AFRICA,Western Cape Province,Miller's Point,Spearfishing,M,36,No injury; 4m white shark made a threat display,N,,,"Cape Argus, 10/2/2006"
2006.09.29,29-Sep-06,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Big toe bitten,N,,,"S. Petersohn, GSAF"
2006.09.18.R,Reported 18-Sep-2006,2006,Provoked,USA,Florida,"Off Key Largo, Monroe County",Diving / Kissing the shark,M,,Lacerations to upper lip    PROVOKED INCIDENT,N,,Nurse shark,"CBS-4, 9/18/2006"
2006.09.14,14-Sep-06,2006,Unprovoked,USA,Florida,"Singer Island, Riviera Beach",Swimming,M,55,Minor injury to left hand,N,14h00,Spinner shark,WFTV.com
2006.09.11,11-Sep-06,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,52,Left torso grazed,N,,5' shark,"S. Petersohn, GSAF"
2006.09.04,04-Sep-06,2006,Invalid,AUSTRALIA,Queensland,Great Barrier Reef  ,Diving,M,44,"Killed by a stingray, not a shark - a tragedy for his family and marine wildlife",Y,11h00,No shark involvement,"Sydney Morning Herald, CNN & internet"
2006.09.03.a,03-Sep-06,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Standing,M,33,Puncture wounds and cuts to right thigh,N,17h30,3' shark,"S. Petersohn, GSAF"
2006.09.02,02-Sep-06,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,M,12 or 13,Arm bitten,N,17h55,,"S. Petersohn, GSAF"
2006.09.02,02-Sep-06,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,Noordhoek,Surfing,M,37,"No injury, shark rammed surfboard",N,,"White shark, 3.5m ","Cape Times, 9/3/2006"
2006.08.29.a,29-Aug-06,2006,Unprovoked,AUSTRALIA,South Australia,"Pennington Bay, Kangaroo Island",Surfing,M,,"No injury, shark towed  surfer & board",N,16h00,"Bronze whaler shark, 6'","P. Kemp, GSAF; S. Black, The Islander, 9/7/2006"
2006.08.15,15-Aug-06,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,Danger Reef,Surfing,M,,"No injury, surfboard leash severed",N,,5 m shark,A. Brenneka
2006.08.13,13-Aug-06,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,"Sunrise Beach, Muizenberg",Lifesaving drill,M,24,Foot severed,N,11h00,White shark,P. Immerz 
2006.07.29.b,29-Jul-06,2006,Invalid,USA,California,"Broad Beach, Malibu, Los Angeles County",Boogie Boarding,M,,"Bruises, laceration to head, spinal cord injury & neck broken at C5/C6 ",N,Afternoon,"Thought to involve a mako shark, but possibly a sea lion","R. Colier, GSAF"
2006.07.29.a,29-Jul-06,2006,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,15,Foot bitten,N,,,WFTV.com
2006.07.28,28-Jul-06,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,Fish Hoek,Surf-skiing,M,19,"No injury, surf ski bitten",N,16h30,"White shark, 3m to 4m","Cape Argus, 7/29/2006"
2006.07.25,25-Jul-06,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Minor lacerations to right foot,N,13h45, ,"S. Petersohn, GSAF"
2006.07.17,17-Jul-06,2006,Unprovoked,USA,South Carolina,"Singleton Beach, Hilton Head Island, Beaufort County",Standing,M,49,Left ankle & foot bitten,N,10h00,"Angel shark, 1.2m "," C. Creswell, GSAF"
2006.07.12,12-Jul-06,2006,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",Swimming,F,21,Ankle & foot bitten,N,13h30,," C. Creswell, GSAF"
2006.07.09.b,09-Jul-06,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,40,Dorsum of left foot bitten,N,17h00,,"S. Petersohn, GSAF"
2006.07.09.a,09-Jul-2006.,2006,Unprovoked,USA,Florida,"Ponte Vedra Beach, St Johns County",Walking,M,11,Lower leg & ankle bitten,N,13h00,,"Orlando Sentinel, 7/9/2006"
2006.07.08.b,08-Jul-06,2006,Unprovoked,USA,South Carolina,"Debordieu Beach, Georgetown County",Body boarding,F,14,Foot bitten,N,11h00,5' to 6' spinner or bull shark,"C. Creswell, GSAF"
2006.07.08.a,08-Jul-06,2006,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Swimming,M,13,Right calf bitten,N,13h00,,Orlando Sentinel
2006.06.30.b,Jul-06,2006,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Spearfishing,F,28,Lacerations & puncture wound  to arm,N,,"1.8 m blacktip ""reef"" shark","Swimming World Magazine, 2 July 2006"
2006.06.30.a,Jul-06,2006,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Spearfishing,M,35,Minor injuries,N,,"1.8 m blacktip ""reef"" shark","Swimming World Magazine, 2 July 2006"
2006.06.27,27-Jun-06,2006,Unprovoked,USA,Florida,"Hutchinson Island, St. Lucie County",Body boarding,F,9,Right calf bitten,N,11h10,, P. Immerz
2006.06.26,26-Jun-06,2006,Provoked,USA,Florida,Fort Myers,Fishing,M,,Non-swimmer pulled off pier& into the water by a hooked shark PROVOKED INCIDENT,N,Afternoon,,"News Press, 6/27/2006"
2006.06.20,20-Jun-06,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,22,2-inch puncture wounds on right foot,N,13h00,Possibly a 1' to 3' blacktip or spinner shark," S. Petersohn, GSAF; P. Immerz"
2006.06.17,17-Jun-06,2006,Unprovoked,USA,California,"Monterey, Monterey County",Scuba diving,M,43,"No injury, shark bit scuba tank boot",N,11h10,,R. Collier
2006.06.15,15-Jun-06,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,Four 1-inch puncture wounds on left foot ,N,15h30,2' to 3' shark,"S. Petersohn, GSAF"
2006.06.07,07-Jun-06,2006,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Playing,F,7,Lacerations & puncture wounds to left foot & buttocks,N,13h45,3' to 4' shark,"C. Creswell, GSAF; Islandpacket.com, 6/7/2006"
2006.06.05,05-Jun-06,2006,Unprovoked,AUSTRALIA,South Australia,Waitpinga,Surfing,M,40,"No injury, knocked off surfboard",N,11h30,14' white shark,"P.Kemp, GSAF; Sunday Mail (Adelaide), 6/11/2006, p.17"
2006.05.31,31-May-06,2006,Unprovoked,USA,Hawaii,O'ahu,Spearfishing,M,26,"4"" laceration to left forearm",N,13h30,"Tiger shark, 8' to 12'","P. Immerz; Honolulu Advertiser, 6/1/2006"
2006.05.28,28-May-06,2006,Provoked,USA,Hawaii,French Frigate Shoals,Tagging sharks,,,"No injury to occupants, boat damaged by hooked shark PROVOKED INCIDENT",N,Afternoon,"Tiger shark, 15' female","Honolulu Advertiser, 5/29/2006"
2006.05.27,27-May-06,2006,Unprovoked,USA,Hawaii,"North Shore, O'ahu",Surfing,M,31,"No injury, shark bumped surfboard",N,16h00,,R. Collier
2006.05.24,24-May-06,2006,Provoked,USA,Hawaii,Lanai,Spearfishing,M,15,Knee bitten after diver poked shark PROVOKED INCIDENT,N,16h30,"Grey reef shark, 5' to 8' ","Maui News, 5/26/2006"
2006.05.10,05-May-06,2006,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",,M,,Small lacerations to arm,N,12h15,,"Florida Today, 5/10/2006"
2006.05.04,04-May-06,2006,Unprovoked,USA,Florida,"Hutchinson Island, St. Lucie County",Swimming,F,20s,2 lacerations on lower right leg,N,16h30,,"TCPalm.com, 5/4/2006 "
2006.05.02,02-May-06,2006,Provoked,AUSTRALIA,Queensland,"Moffat Beach, Caloundra",Snorkeling,M,46,Abrasion & 6 puncture wounds on chest after grabbing the shark by its tail PROVOKED INCIDENT,N,16h30,"Wobbegong shark, 2 m ","Sunshine Coast Daily, 5/4/2006"
2006.04.23.R,Reported      23-Apr-2006,2006,Invalid,USA,Florida,"Alligator Reef off Islamorada, Monroe County",,M,,Shark bites post mortem,Y,,,"KRT Wire, 4/24/2006"
2006.04.21,21-Apr-06,2006,Unprovoked,USA,Florida,"Sebastian Inlet, Brevard County",Surfing,M,54,Feet bitten,N,,,Local 6 News
2006.04.19,19-Apr-06,2006,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,F,13,3 tiny punctures & small lacerations on right ankle,N,15h00,,"Orlando Sentinel, 4/20/2006; Yahoo News;  S. Petersohn"
2006.04.13,13-Apr-06,2006,Provoked,USA,Florida,"Port of the Islands, Collier County",Fishing,M,35,3 to 4 cm laceration on foot from hooked shark brought on board PROVOKED INCIDENT,N,Afternoon,"Bull shark, 4' to bull shark","Naples News, 4/13/2006"
2006.04.11,11-Apr-06,2006,Unprovoked,AUSTRALIA,New South Wales,Newcastle Beach,Surfing,M,15,Minor laceration to left foot,N,13h30,"Bronze whaler shark, a  juvenile ","Daily Telegraph, 4/12/2006"
2006.04.09.b,09-Apr-06,2006,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Body boarding,M,15,Leg bitten,N,17h30,"Raggedtooth shark, 2.5 m to 3 m ",J. Visser
